"","Indicator","Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","overlap","Indicator_Code","Description"
"1","advisory council unicameral-IPU-Number.of.seats","IPU","Advisory Council Unicameral","Number.of.seats","Advisory Council Unicameral","60-IPU-Number.of.seats","Number of seats","Number of seats","Value",5.143,"Checks and Balances","Legislative System","Other","Advisory Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"2","advisory council unicameral-IPU-Number.of.women.parliamentarians","IPU","Advisory Council Unicameral","Number.of.women.parliamentarians","Advisory Council Unicameral","137-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",5.143,"Checks and Balances","Legislative System","Other","Advisory Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"3","advisory council unicameral-IPU-Percentage.of.women","IPU","Advisory Council Unicameral","Percentage.of.women","Advisory Council Unicameral","214-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",5.143,"Checks and Balances","Legislative System","Other","Advisory Council Unicameral","",NA,"","","","","",NA,"","","","","","",""
"4","assembly of peoples representatives unicameral-IPU-Number.of.seats","IPU","Assembly of People's Representatives Unicameral","Number.of.seats","Assembly of People's Representatives Unicameral","71-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.244,"Checks and Balances","Legislative System","Other","Assembly of Peoples Representatives Unicameral","",NA,"","","","","",NA,"","","","","","",""
"5","assembly of peoples representatives unicameral-IPU-Number.of.women.parliamentarians","IPU","Assembly of People's Representatives Unicameral","Number.of.women.parliamentarians","Assembly of People's Representatives Unicameral","148-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.244,"Checks and Balances","Legislative System","Other","Assembly of Peoples Representatives Unicameral","",NA,"","","","","",NA,"","","","","","",""
"6","assembly of peoples representatives unicameral-IPU-Percentage.of.women","IPU","Assembly of People's Representatives Unicameral","Percentage.of.women","Assembly of People's Representatives Unicameral","225-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.244,"Checks and Balances","Legislative System","Other","Assembly of Peoples Representatives Unicameral","",NA,"","","","","",NA,"","","","","","",""
"7","assembly of the republic unicameral-IPU-Number.of.seats","IPU","Assembly of the Republic Unicameral","Number.of.seats","Assembly of the Republic Unicameral","53-IPU-Number.of.seats","Number of seats","Number of seats","Value",4.965,"Checks and Balances","Legislative System","Other","Assembly of the Republic Unicameral","",NA,"","","","","",NA,"","","","","","",""
"8","assembly of the republic unicameral-IPU-Number.of.women.parliamentarians","IPU","Assembly of the Republic Unicameral","Number.of.women.parliamentarians","Assembly of the Republic Unicameral","130-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",4.965,"Checks and Balances","Legislative System","Other","Assembly of the Republic Unicameral","",NA,"","","","","",NA,"","","","","","",""
"9","assembly of the republic unicameral-IPU-Percentage.of.women","IPU","Assembly of the Republic Unicameral","Percentage.of.women","Assembly of the Republic Unicameral","207-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",4.965,"Checks and Balances","Legislative System","Other","Assembly of the Republic Unicameral","",NA,"","","","","",NA,"","","","","","",""
"10","assembly of the union unicameral-IPU-Number.of.seats","IPU","Assembly of the Union Unicameral","Number.of.seats","Assembly of the Union Unicameral","24-IPU-Number.of.seats","Number of seats","Number of seats","Value",5.151,"Checks and Balances","Legislative System","Other","Assembly of the Union Unicameral","",NA,"","","","","",NA,"","","","","","",""
"11","assembly of the union unicameral-IPU-Number.of.women.parliamentarians","IPU","Assembly of the Union Unicameral","Number.of.women.parliamentarians","Assembly of the Union Unicameral","101-IPU-Number.of.women.parliamentarians","Number of women parliamentarians","Number of women parliamentarians","Value",5.151,"Checks and Balances","Legislative System","Other","Assembly of the Union Unicameral","",NA,"","","","","",NA,"","","","","","",""
"12","assembly of the union unicameral-IPU-Percentage.of.women","IPU","Assembly of the Union Unicameral","Percentage.of.women","Assembly of the Union Unicameral","178-IPU-Percentage.of.women","Percentage of women","Percentage of women","%",5.151,"Checks and Balances","Legislative System","Other","Assembly of the Union Unicameral","",NA,"","","","","",NA,"","","","","","",""
